Grain ID,Length mm,Width mm,Area mm2,Aspect Ratio
72.0,7.843444704070805,1.5811388511357345,12.401575148341173,4.960629927243168
73.0,7.1654372327909694,1.4717364874411756,10.545635423968,4.86869578483381
74.0,8.025780024490958,2.217467300535187,17.79690476559719,3.619345377744209
75.0,6.839023499976932,1.3346068314679964,9.12740748363938,5.124373215184558
76.0,6.73228346456693,3.8582677165354333,25.974951949903904,1.7448979591836735
77.0,7.827914981391487,1.9612947599155697,15.352848634067708,3.991197621783513
78.0,8.094671054149238,1.753353509377307,14.192819900047471,4.616679415107802
79.0,7.737493439922183,1.754758189043661,13.577429976375056,4.40943572067847
80.0,8.147178709976316,3.294897004375308,26.84411472561125,2.472665670325246
81.0,3.563776992437408,1.7105360857145055,6.095969147003297,2.0834269573148396
81.0,7.489186684916339,2.191014928141917,16.408919826293374,3.4181358550886363
